condition,mask_strategy,observation_fraction,trial_count,rmse_mean,rmse_std,correlation_mean,correlation_std,correlation_retention_mean,correlation_retention_std,spectral_information_loss_mean,spectral_information_loss_std,parameter_estimation_error_mean,parameter_estimation_error_std,correlation_undefined_count
oracle,uniform,1.0,9,0.0021825922036712363,8.311737757698973e-05,0.9999903095299086,6.987497067483067e-06,0.9999806192025475,1.3974859601768244e-05,0.025085795681273695,0.021709713320341665,0.0,0.0,0
oracle,uniform,0.75,9,0.01302675050401937,0.007217114415201995,0.9993132853230828,0.000656138385393063,0.9986274727407943,0.0013109928685588513,0.09857760095415206,0.053839638631255696,0.0,0.0,0
oracle,uniform,0.5,9,0.018843675403034364,0.010520018439143155,0.9985309832065121,0.0014413730887520221,0.9970662019797447,0.002876514585971196,0.11371539412333004,0.053306207734255304,0.0,0.0,0
oracle,uniform,0.25,9,0.035794384243915164,0.020167887915777595,0.9947493377846567,0.005642800230943098,0.9895580862174592,0.011191188007609591,0.11390452843837003,0.02557727513579629,0.0,0.0,0
oracle,uniform,0.1,9,0.15546758672602218,0.07805413138235699,0.909273117792259,0.08881129323801722,0.8346650485462642,0.15502099641192305,0.13312308897591288,0.04183148826506912,0.0,0.0,0
oracle,window,1.0,9,0.0021825922036712363,8.311737757698973e-05,0.9999903095299086,6.987497067483067e-06,0.9999806192025475,1.3974859601768244e-05,0.025085795681273695,0.021709713320341665,0.0,0.0,0
oracle,window,0.75,9,0.17196244890966172,0.11796103658308293,0.9307264837078001,0.04876073477206535,0.8686293967305975,0.08990267396628096,0.10049751973589036,0.02479474575987655,0.0,0.0,0
oracle,window,0.5,9,0.41100783558285453,0.12240899469224754,0.5429413139720192,0.3435703374024304,0.41282584716048254,0.31389402569579977,0.12564343258339072,0.04080895440455797,0.0,0.0,0
oracle,window,0.25,9,0.4012650916387587,0.153423774671408,0.5488901103177075,0.2593814329233804,0.36855908094997125,0.27684534825898977,0.13751310444699116,0.0343839473374759,0.0,0.0,0
oracle,window,0.1,9,0.5221716034699386,0.1615669545788013,0.1342769178686267,0.5054991104658444,0.2735596413540579,0.28504888105130854,0.16672961391083743,0.03916179243315837,0.0,0.0,0
oracle,random,1.0,9,0.0021825922036712363,8.311737757698973e-05,0.9999903095299086,6.987497067483067e-06,0.9999806192025475,1.3974859601768244e-05,0.025085795681273695,0.021709713320341665,0.0,0.0,0
oracle,random,0.75,9,0.013699046601017433,0.009791287487614707,0.9990142889046074,0.0013547035068051112,0.9980313846571698,0.002703941299851016,0.09611272628049732,0.04705768280740392,0.0,0.0,0
oracle,random,0.5,9,0.04311063943917264,0.014608030670562312,0.9937153226038278,0.00349718160194791,0.9874823726567866,0.006954668803081514,0.10142980631282154,0.034843432742940016,0.0,0.0,0
oracle,random,0.25,9,0.06598530358899668,0.02505785209564225,0.9847662665538527,0.010271286375427194,0.9698700990662198,0.020209170864569068,0.10830346465754148,0.032591657768033265,0.0,0.0,0
