condition,mask_strategy,observation_fraction,family,seed,rmse,correlation,correlation_retention,spectral_information_loss,parameter_estimation_error
oracle,uniform,1.0,gaussian,3,0.002286035262886134,0.9999795644720518,0.9999591293617145,0.0008070251138608819,0.0
blind,uniform,1.0,gaussian,3,0.03261169420213461,0.9999472178063462,0.9998944383986524,0.013188623360430696,0.3566666666666667
interpolation_baseline,uniform,1.0,gaussian,3,0.4410761234786202,0.9980148644416219,0.9960336696464289,0.030006016671201396,0.0
naive_baseline,uniform,1.0,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,uniform,0.75,gaussian,3,0.009070943813806097,0.9996793242406196,0.9993587513141817,0.09071111059411585,0.0
blind,uniform,0.75,gaussian,3,0.03427152387751556,0.9996244586100838,0.999249058251503,0.09250924610343148,0.3566666666666667
interpolation_baseline,uniform,0.75,gaussian,3,0.44031709317649825,0.9979436210281823,0.9958914707508404,0.05797330307999671,0.0
naive_baseline,uniform,0.75,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,uniform,0.5,gaussian,3,0.013387463048766661,0.9993022690151111,0.9986050248587495,0.09256295275792248,0.0
blind,uniform,0.5,gaussian,3,0.03614636269518515,0.9992101203339135,0.998420864577714,0.09458673879644452,0.3566666666666667
interpolation_baseline,uniform,0.5,gaussian,3,0.43955246624852773,0.9978728647152105,0.9957502541349409,0.04216834512196843,0.0
naive_baseline,uniform,0.5,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,uniform,0.25,gaussian,3,0.029493966324579797,0.9966800872888643,0.9933711963981381,0.11464268377514952,0.0
blind,uniform,0.25,gaussian,3,0.046204678327952727,0.99661480059284,0.9932410607607063,0.11451275994200583,0.3566666666666667
interpolation_baseline,uniform,0.25,gaussian,3,0.4365044053635407,0.9954223017965298,0.9908655589139016,0.08354316199469614,0.0
naive_baseline,uniform,0.25,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,uniform,0.1,gaussian,3,0.14272981466892976,0.9249493888434782,0.8555313719219239,0.08751824495898086,0.0
blind,uniform,0.1,gaussian,3,0.1531214162597985,0.9251468524346217,0.8558966985696876,0.0853437226056818,0.3566666666666667
interpolation_baseline,uniform,0.1,gaussian,3,0.40539420233092077,0.9217874471639078,0.8496920977489542,0.06391638526588772,0.0
naive_baseline,uniform,0.1,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,window,1.0,gaussian,3,0.002286035262886134,0.9999795644720518,0.9999591293617145,0.0008070251138608819,0.0
blind,window,1.0,gaussian,3,0.03261169420213461,0.9999472178063462,0.9998944383986524,0.013188623360430696,0.3566666666666667
interpolation_baseline,window,1.0,gaussian,3,0.4410761234786202,0.9980148644416219,0.9960336696464289,0.030006016671201396,0.0
naive_baseline,window,1.0,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,window,0.75,gaussian,3,0.1795817455099059,0.9099289909917694,0.8279707686472996,0.1335597011636629,0.0
blind,window,0.75,gaussian,3,0.17630051679904774,0.9030643691008673,0.8155252547395475,0.12709985400628865,0.3566666666666667
